iter	Passed	Remaining
687	1671	758
688	1674	755
689	1675	752
690	1678	750
691	1680	748
692	1683	745
693	1685	743
694	1687	740
695	1690	738
696	1692	735
697	1695	733
698	1697	731
699	1699	728
700	1701	725
701	1703	723
702	1705	720
703	1707	717
704	1709	715
705	1711	712
706	1713	710
707	1715	707
708	1717	704
709	1719	702
710	1721	699
711	1722	696
712	1724	694
713	1727	691
714	1729	689
715	1731	686
716	1733	684
717	1735	681
718	1737	678
719	1739	676
720	1741	673
721	1743	671
722	1745	668
723	1748	666
724	1750	663
725	1752	661
726	1754	658
727	1756	656
728	1758	653
729	1761	651
730	1763	648
731	1765	646
732	1767	643
733	1769	641
734	1771	638
735	1774	636
736	1776	633
737	1778	631
738	1780	628
739	1782	626
740	1784	623
741	1786	621
742	1788	618
743	1790	616
744	1792	613
745	1794	611
746	1796	608
747	1798	606
748	1800	603
749	1802	600
750	1805	598
751	1807	596
752	1809	593
753	1811	591
754	1813	588
755	1815	586
756	1817	583
757	1819	581
758	1821	578
759	1823	575
760	1826	573
761	1829	571
762	1831	568
763	1832	566
764	1835	563
765	1837	561
766	1839	558
767	1842	556
768	1845	554
769	1847	551
770	1849	549
771	1851	546
772	1853	544
773	1855	541
774	1857	539
775	1859	536
776	1862	534
777	1864	532
778	1867	529
779	1870	527
780	1872	525
781	1874	522
782	1877	520
783	1879	517
784	1882	515
785	1884	513
786	1886	510
787	1889	508
788	1891	505
789	1893	503
790	1895	500
791	1898	498
792	1900	496
793	1902	493
794	1904	491
795	1906	488
796	1908	486
797	1910	483
798	1912	481
799	1914	478
800	1916	476
801	1918	473
802	1920	471
803	1922	468
804	1924	466
805	1926	463
806	1928	461
807	1930	458
808	1933	456
809	1935	454
810	1937	451
811	1939	449
812	1941	446
813	1943	444
814	1946	441
815	1947	439
816	1949	436
817	1951	434
818	1953	431
819	1955	429
820	1958	426
821	1960	424
822	1962	422
823	1964	419
824	1967	417
825	1969	414
826	1971	412
827	1974	410
828	1976	407
829	1979	405
830	1981	402
831	1983	400
832	1985	398
833	1988	395
834	1991	393
835	1993	391
836	1995	388
837	1997	386
838	1999	383
839	2002	381
840	2004	378
841	2006	376
842	2009	374
843	2011	371
844	2013	369
845	2015	366
846	2017	364
847	2020	362
848	2022	359
849	2024	357
850	2026	354
851	2028	352
852	2031	350
853	2033	347
854	2036	345
855	2038	342
856	2040	340
857	2042	338
858	2044	335
859	2046	333
860	2049	330
861	2052	328
862	2054	326
863	2056	323
864	2059	321
865	2061	318
866	2063	316
867	2065	314
868	2068	311
869	2070	309
870	2072	306
871	2074	304
872	2076	302
873	2078	299
874	2080	297
875	2083	294
876	2085	292
877	2088	290
878	2090	287
879	2092	285
880	2094	282
881	2096	280
882	2099	278
883	2101	275
884	2104	273
885	2106	271
886	2108	268
887	2110	266
888	2113	263
889	2116	261
890	2118	259
891	2120	256
892	2122	254
893	2124	251
894	2126	249
895	2128	247
896	2130	244
897	2132	242
898	2134	239
899	2136	237
900	2139	235
901	2141	232
902	2143	230
903	2145	227
904	2147	225
905	2150	223
